step,time
3671.0,2.681
3681.0,2.873
3691.0,2.811
3701.0,2.669
3711.0,2.791
3721.0,2.684
3731.0,2.723
3741.0,2.949
3751.0,3.007
3761.0,2.738
3771.0,2.718
3781.0,2.79
3791.0,2.782
3801.0,2.855
3811.0,2.865
3821.0,2.922
3831.0,2.873
3841.0,2.932
3851.0,2.748
3861.0,2.736
3871.0,2.997
3881.0,2.791
3891.0,2.906
3901.0,2.802
3911.0,2.727
3921.0,2.757
3931.0,2.759
3941.0,2.804
3951.0,2.6
3961.0,2.865
3971.0,2.89
3981.0,2.765
3991.0,2.628
4001.0,2.636
4011.0,2.891
4021.0,2.869
4031.0,2.632
4041.0,2.743
4051.0,2.908
4061.0,2.863
4071.0,2.774
4081.0,2.915
4091.0,2.875
4101.0,3.169
4111.0,2.821
4121.0,2.743
4131.0,2.814
4141.0,2.847
4151.0,2.865
4161.0,2.799
4171.0,2.716
4181.0,2.715
4191.0,2.796
4201.0,2.782
4211.0,2.847
4221.0,2.862
4231.0,2.94
4241.0,2.836
4251.0,2.708
4261.0,2.94
4271.0,2.876
4281.0,2.724
4291.0,2.76
4301.0,2.76
4311.0,2.921
4321.0,2.852
4331.0,2.801
4341.0,2.725
4351.0,2.585
4361.0,2.946
4371.0,2.816
4381.0,2.945
4391.0,2.889
4401.0,2.845
4411.0,2.807
4421.0,2.81
4431.0,2.899
4441.0,2.936
4451.0,2.805
4461.0,2.808
4471.0,2.764
4481.0,2.807
4491.0,2.812
4501.0,2.744
4511.0,2.76
4521.0,2.641
4531.0,2.637
4541.0,2.858
4551.0,2.778
4561.0,2.78
4571.0,2.751
4581.0,2.727
4591.0,2.738
4601.0,2.654
4611.0,2.855
4621.0,2.733
4631.0,2.751
4641.0,2.839
4651.0,2.831
4661.0,2.783
4671.0,2.974
4681.0,2.828
4691.0,2.935
4701.0,2.939
4711.0,2.992
4721.0,2.903
4731.0,2.775
4741.0,2.721
4751.0,2.728
4761.0,2.886
4771.0,2.813
4781.0,2.819
4791.0,2.728
4801.0,2.737
4811.0,2.842
4821.0,2.685
4831.0,2.767
4841.0,2.953
4851.0,2.805
4861.0,2.936
4871.0,2.864
4881.0,2.63
4891.0,2.756
4901.0,2.914
4911.0,2.796
4921.0,2.756
4931.0,2.896
4941.0,2.817
4951.0,2.913
4961.0,2.709
4971.0,2.808
4981.0,2.777
4991.0,2.799
5001.0,2.921
5011.0,2.788
5021.0,2.73
5031.0,2.842
5041.0,2.878
5051.0,2.681
5061.0,3.073
5071.0,2.606
5081.0,2.869
5091.0,2.756
5101.0,2.843
5111.0,2.742
5121.0,2.842
5131.0,2.754
5141.0,2.79
5151.0,2.715
5161.0,2.734
5171.0,2.818
5181.0,2.789
5191.0,2.878
5201.0,2.75
5211.0,2.795
5221.0,2.738
5231.0,2.867
5241.0,2.794
5251.0,2.797
5261.0,2.955
5271.0,2.794
5281.0,2.867
5291.0,2.726
5301.0,2.751
5311.0,2.779
5321.0,2.905
5331.0,2.679
5341.0,2.804
5351.0,2.845
5361.0,2.93
5371.0,2.715
5381.0,2.793
5391.0,2.804
5401.0,2.689
5411.0,2.921
5421.0,2.777
5431.0,2.757
5441.0,2.893
5451.0,2.849
5461.0,2.809
5471.0,2.799
5481.0,2.913
5491.0,2.84
5501.0,2.825
5511.0,2.858
5521.0,2.756
5531.0,2.881
5541.0,2.944
5551.0,2.909
5561.0,2.833
5571.0,2.778
5581.0,2.726
5591.0,2.921
5601.0,3.078
5611.0,2.73
5621.0,2.89
5631.0,2.942
5641.0,2.836
5651.0,2.903
5661.0,2.898
5671.0,2.808
5681.0,2.813
5691.0,2.757
5701.0,2.857
5711.0,2.898
5721.0,2.962
5731.0,2.752
5741.0,2.72
5751.0,2.766
5761.0,2.759
5771.0,2.816
5781.0,2.869
5791.0,2.768
5801.0,2.747
5811.0,2.8
5821.0,2.886
5831.0,2.819
5841.0,2.816
5851.0,2.781
5861.0,2.75
5871.0,2.915
5881.0,2.804
5891.0,2.785
5901.0,2.875
5911.0,2.922
5921.0,2.781
5931.0,2.81
5941.0,2.764
5951.0,2.792
5961.0,2.788
5971.0,2.87
5981.0,2.981
5991.0,2.682
6001.0,2.781
6011.0,2.748
6021.0,2.874
6031.0,2.689
6041.0,2.71
6051.0,2.749
6061.0,2.791
6071.0,2.843
6081.0,2.845
6091.0,2.943
6101.0,2.771
6111.0,2.844
6121.0,2.706
6131.0,2.657
6141.0,2.761
6151.0,2.812
6161.0,2.806
6171.0,2.703
6181.0,2.865
6191.0,2.706
6201.0,2.681
6211.0,2.887
6221.0,2.817
6231.0,3.137
6241.0,2.833
6251.0,2.804
6261.0,2.806
6271.0,2.874
6281.0,2.837
6291.0,2.892
6301.0,2.899
6311.0,2.716
6321.0,2.838
6331.0,2.832
6341.0,2.979
6351.0,2.629
6361.0,2.879
6371.0,2.91
6381.0,2.787
6391.0,2.9
6401.0,2.945
6411.0,2.752
6421.0,2.762
6431.0,2.944
6441.0,2.811
6451.0,2.823
6461.0,2.865
6471.0,2.854
6481.0,2.941
6491.0,2.919
6501.0,2.794
6511.0,2.911
6521.0,2.745
6531.0,2.72
6541.0,2.822
6551.0,2.803
6561.0,3.015
6571.0,2.669
6581.0,2.838
6591.0,2.71
6601.0,2.856
6611.0,2.878
6621.0,2.706
6631.0,2.735
6641.0,2.877
6651.0,2.801
6661.0,2.782
6671.0,2.82
6681.0,2.678
6691.0,2.887
6701.0,2.657
6711.0,2.766
6721.0,2.85
6731.0,2.813
6741.0,2.873
6751.0,2.816
6761.0,2.818
6771.0,2.89
6781.0,2.695
6791.0,2.676
6801.0,2.866
6811.0,2.715
6821.0,2.952
6831.0,2.91
6841.0,2.925
6851.0,2.708
6861.0,2.742
6871.0,2.884
6881.0,2.844
6891.0,2.86
6901.0,2.696
6911.0,2.879
6921.0,2.856
6931.0,2.823
6941.0,2.78
6951.0,2.737
6961.0,2.925
6971.0,2.95
6981.0,2.737
6991.0,2.782
7001.0,2.67
7011.0,2.746
7021.0,2.704
7031.0,2.774
7041.0,2.834
7051.0,2.656
7061.0,2.736
7071.0,2.824
7081.0,2.732
7091.0,2.897
7101.0,2.793
7111.0,2.802
7121.0,2.893
7131.0,2.794
7141.0,2.714
7151.0,2.825
7161.0,2.794
7171.0,2.78
7181.0,2.792
7191.0,2.623
7201.0,2.771
7211.0,2.74
7221.0,2.766
7231.0,2.708
7241.0,2.829
7251.0,2.686
7261.0,2.917
7271.0,2.812
7281.0,2.683
7291.0,2.746
7301.0,2.712
7311.0,2.807
7321.0,2.741
7331.0,2.883
7341.0,2.653
7351.0,2.816
7361.0,2.649
7371.0,2.922
7381.0,2.841
7391.0,2.729
7401.0,2.905
7411.0,2.825
7421.0,2.775
7431.0,2.793
7441.0,2.769
7451.0,2.72
7461.0,2.749
7471.0,2.897
7481.0,2.809
7491.0,2.792
7501.0,2.956
7511.0,2.902
7521.0,2.75
7531.0,2.862
7541.0,2.707
7551.0,2.665
7561.0,2.792
7571.0,2.864
7581.0,2.854
7591.0,2.841
7601.0,2.873
7611.0,2.694
7621.0,2.827
7631.0,2.901
7641.0,2.839
7651.0,2.821
7661.0,2.819
7671.0,2.783
7681.0,2.819
7691.0,2.923
7701.0,2.865
7711.0,2.856
7721.0,2.815
7731.0,2.861
7741.0,2.816
7751.0,2.809
7761.0,2.869
7771.0,2.805
7781.0,2.794
7791.0,2.703
7801.0,2.933
7811.0,2.866
7821.0,2.798
7831.0,2.739
7841.0,2.988
7851.0,2.919
7861.0,2.828
7871.0,2.796
7881.0,2.96
7891.0,2.896
7901.0,2.844
7911.0,2.725
7921.0,2.847
7931.0,2.76
7941.0,2.641
7951.0,2.901
7961.0,2.868
7971.0,2.943
7981.0,2.795
7991.0,2.818
8001.0,2.638
8011.0,2.834
8021.0,2.825
8031.0,2.662
8041.0,2.88
8051.0,2.837
8061.0,2.726
8071.0,2.788
8081.0,2.87
8091.0,2.859
8101.0,2.898
8111.0,2.792
8121.0,2.822
8131.0,2.906
8141.0,2.871
8151.0,3.041
8161.0,2.995
8171.0,2.777
8181.0,2.835
8191.0,2.836
8201.0,2.802
8211.0,2.691
8221.0,2.88
8231.0,2.808
8241.0,2.818
8251.0,2.874
8261.0,2.713
8271.0,2.761
8281.0,2.741
8291.0,2.947
8301.0,2.717
8311.0,2.779
8321.0,2.772
8331.0,2.656
8341.0,2.784
8351.0,2.907
8361.0,3.224
8371.0,2.722
8381.0,2.853
8391.0,2.919
8401.0,2.721
8411.0,2.769
8421.0,2.93
8431.0,2.746
8441.0,3.055
8451.0,2.883
8461.0,2.759
8471.0,2.714
8481.0,2.669
8491.0,2.688
8501.0,2.992
8511.0,2.886
8521.0,2.869
8531.0,2.935
8541.0,2.847
8551.0,2.817
8561.0,2.892
8571.0,2.904
8581.0,2.965
8591.0,2.879
8601.0,2.833
8611.0,2.866
8621.0,2.888
8631.0,2.822
8641.0,2.805
8651.0,2.909
8661.0,2.802
8671.0,2.792
8681.0,2.853
8691.0,2.774
8701.0,2.959
8711.0,2.82
8721.0,9.57
8731.0,3.071
8741.0,2.661
8751.0,2.772
8761.0,2.798
8771.0,2.74
8781.0,2.775
8791.0,2.661
8801.0,2.811
8811.0,2.815
8821.0,2.707
8831.0,2.691
8841.0,2.815
8851.0,2.699
8861.0,2.687
8871.0,6.905
8881.0,6.002
8891.0,2.895
8901.0,2.639
8911.0,2.917
8921.0,2.955
8931.0,2.805
8941.0,2.675
8951.0,2.732
8961.0,2.879
8971.0,2.914
8981.0,2.761
8991.0,2.829
9001.0,2.797
9011.0,2.763
9021.0,5.383
9031.0,7.469
9041.0,2.788
9051.0,2.705
9061.0,2.744
9071.0,2.881
9081.0,2.959
9091.0,2.702
9101.0,2.874
9111.0,2.741
9121.0,2.663
9131.0,2.727
9141.0,2.646
9151.0,2.772
9161.0,2.829
9171.0,3.462
9181.0,9.602
9191.0,2.75
9201.0,2.756
9211.0,2.844
9221.0,2.839
9231.0,2.746
9241.0,2.941
9251.0,2.875
9261.0,2.869
9271.0,2.77
9281.0,2.69
9291.0,2.9
9301.0,5.79
9311.0,7.69
9321.0,2.798
9331.0,2.715
9341.0,2.792
9351.0,2.768
9361.0,2.838
9371.0,10.465
9381.0,2.782
9391.0,2.69
9401.0,2.753
9411.0,2.781
9421.0,2.786
9431.0,2.75
9441.0,2.884
9451.0,2.801
9461.0,2.788
9471.0,2.881
9481.0,2.731
9491.0,2.688
9501.0,2.715
9511.0,2.745
9521.0,2.704
9531.0,2.739
9541.0,2.827
9551.0,10.842
9561.0,2.803
9571.0,2.747
9581.0,2.881
9591.0,2.841
9601.0,3.026
9611.0,2.812
9621.0,2.777
9631.0,2.964
9641.0,10.381
9651.0,2.718
9661.0,2.773
9671.0,2.638
9681.0,2.659
9691.0,10.683
9701.0,2.727
9711.0,2.814
9721.0,2.978
9731.0,2.773
9741.0,2.743
9751.0,2.758
9761.0,2.94
9771.0,2.871
9781.0,2.87
9791.0,2.839
9801.0,2.782
9811.0,2.76
9821.0,2.724
9831.0,10.639
9841.0,2.83
9851.0,2.775
9861.0,2.887
9871.0,10.855
9881.0,3.11
9891.0,2.9
9901.0,2.734
9911.0,2.747
9921.0,2.885
9931.0,2.884
9941.0,2.75
9951.0,3.039
9961.0,11.137
9971.0,2.67
9981.0,2.744
9991.0,2.829
