step,time
11.0,4.169
21.0,1.721
31.0,1.717
41.0,1.699
51.0,1.785
61.0,1.578
71.0,1.728
81.0,1.767
91.0,1.66
101.0,1.391
111.0,1.567
121.0,1.543
131.0,1.701
141.0,1.571
151.0,1.676
161.0,1.487
171.0,1.67
181.0,1.681
191.0,1.537
201.0,1.686
211.0,1.672
221.0,1.599
231.0,1.614
241.0,1.758
251.0,1.705
261.0,1.553
271.0,1.775
281.0,1.665
291.0,1.763
301.0,1.589
311.0,1.657
321.0,1.608
331.0,1.764
341.0,1.62
351.0,1.784
361.0,1.625
371.0,1.638
381.0,1.7
391.0,1.893
401.0,1.674
411.0,1.626
421.0,1.554
431.0,1.638
441.0,1.431
451.0,1.698
461.0,1.566
471.0,1.662
481.0,1.54
491.0,1.471
501.0,1.589
511.0,1.605
521.0,1.607
531.0,1.528
541.0,1.386
551.0,1.605
561.0,1.663
571.0,1.557
581.0,1.547
591.0,1.41
601.0,1.586
611.0,1.569
621.0,1.638
631.0,1.562
641.0,1.293
651.0,1.661
661.0,1.59
671.0,1.538
681.0,1.634
691.0,1.347
701.0,1.576
711.0,1.584
721.0,1.658
731.0,1.553
741.0,1.28
751.0,1.655
761.0,1.622
771.0,1.614
781.0,1.607
791.0,1.5
801.0,1.678
811.0,1.537
821.0,1.594
831.0,1.675
841.0,1.514
851.0,1.496
861.0,1.75
871.0,1.551
881.0,1.682
891.0,1.622
901.0,1.756
911.0,1.607
921.0,1.624
931.0,1.777
941.0,2.049
951.0,1.666
961.0,1.742
971.0,1.641
981.0,1.74
991.0,1.764
1001.0,1.564
1011.0,1.828
1021.0,1.674
1031.0,1.65
1041.0,1.781
1051.0,1.719
1061.0,1.574
1071.0,1.457
1081.0,1.623
1091.0,1.566
1101.0,1.643
1111.0,1.59
1121.0,1.564
1131.0,1.562
1141.0,1.48
1151.0,1.58
1161.0,1.741
1171.0,1.703
1181.0,1.562
1191.0,1.548
1201.0,1.652
1211.0,1.584
1221.0,1.721
1231.0,1.811
1241.0,1.783
1251.0,1.785
1261.0,1.599
1271.0,1.554
1281.0,1.659
1291.0,1.627
1301.0,1.792
1311.0,1.798
1321.0,1.784
1331.0,1.544
1341.0,1.766
1351.0,1.745
1361.0,1.66
1371.0,1.594
1381.0,1.66
1391.0,1.829
1401.0,1.679
1411.0,1.409
1421.0,1.689
1431.0,1.667
1441.0,1.591
1451.0,1.406
1461.0,1.495
1471.0,1.739
1481.0,1.62
1491.0,1.642
1501.0,1.643
1511.0,1.327
1521.0,1.539
1531.0,1.634
1541.0,1.538
1551.0,1.552
1561.0,1.356
1571.0,1.638
1581.0,1.611
1591.0,1.528
1601.0,1.622
1611.0,1.388
1621.0,1.493
1631.0,1.605
1641.0,1.498
1651.0,1.235
1661.0,1.585
1671.0,1.62
1681.0,1.519
1691.0,1.631
1701.0,1.466
1711.0,1.444
1721.0,1.632
1731.0,1.622
1741.0,1.643
1751.0,1.387
1761.0,1.453
1771.0,1.647
1781.0,1.626
1791.0,1.624
1801.0,1.452
1811.0,1.73
1821.0,1.565
1831.0,1.607
1841.0,1.727
1851.0,1.815
1861.0,1.575
1871.0,1.481
1881.0,1.934
1891.0,1.708
1901.0,1.761
1911.0,1.772
1921.0,1.509
1931.0,1.709
1941.0,1.674
1951.0,1.772
1961.0,1.504
1971.0,1.762
1981.0,1.683
1991.0,1.652
2001.0,1.619
2011.0,1.644
2021.0,1.679
2031.0,1.683
2041.0,1.592
2051.0,1.647
2061.0,1.674
2071.0,1.562
2081.0,1.541
2091.0,1.553
2101.0,1.584
2111.0,1.579
2121.0,1.535
2131.0,1.451
2141.0,1.743
2151.0,1.569
2161.0,1.625
2171.0,1.8
2181.0,1.685
2191.0,1.724
2201.0,1.638
2211.0,1.588
2221.0,1.747
2231.0,1.582
2241.0,1.752
2251.0,1.653
2261.0,1.762
2271.0,1.81
2281.0,1.675
2291.0,1.788
2301.0,1.723
2311.0,1.755
2321.0,1.707
2331.0,1.583
2341.0,1.76
2351.0,1.516
2361.0,1.655
2371.0,1.695
2381.0,1.702
2391.0,1.556
2401.0,1.557
2411.0,1.451
2421.0,1.7
2431.0,1.608
2441.0,1.715
2451.0,1.553
2461.0,1.254
2471.0,1.686
2481.0,1.633
2491.0,1.714
2501.0,1.585
2511.0,1.543
2521.0,1.441
2531.0,1.544
2541.0,1.634
2551.0,1.587
2561.0,1.332
2571.0,1.458
2581.0,1.54
2591.0,1.601
2601.0,1.475
2611.0,1.311
2621.0,1.623
2631.0,1.546
2641.0,1.689
2651.0,1.686
2661.0,1.422
2671.0,1.525
2681.0,1.559
2691.0,1.607
2701.0,1.601
2711.0,1.399
2721.0,1.536
2731.0,1.675
2741.0,1.619
2751.0,1.694
2761.0,1.507
2771.0,1.456
2781.0,1.575
2791.0,1.662
2801.0,1.644
2811.0,1.636
2821.0,1.722
2831.0,1.575
2841.0,1.709
2851.0,1.74
2861.0,1.624
2871.0,1.749
2881.0,1.701
2891.0,1.611
2901.0,1.655
2911.0,1.605
2921.0,1.716
2931.0,1.779
2941.0,1.769
2951.0,1.531
2961.0,1.581
2971.0,1.769
2981.0,1.781
2991.0,1.548
3001.0,1.719
3011.0,1.696
3021.0,1.636
3031.0,1.379
3041.0,1.627
3051.0,1.547
3061.0,1.66
3071.0,1.598
3081.0,1.632
3091.0,1.5
3101.0,1.405
3111.0,1.652
3121.0,1.684
3131.0,1.732
3141.0,1.526
3151.0,1.533
3161.0,1.68
3171.0,1.634
3181.0,1.791
3191.0,1.673
3201.0,1.768
3211.0,1.523
3221.0,1.801
3231.0,1.673
3241.0,1.637
3251.0,1.669
3261.0,1.72
3271.0,1.747
3281.0,1.572
3291.0,1.742
3301.0,1.771
3311.0,1.68
3321.0,1.715
3331.0,1.414
3341.0,1.701
3351.0,1.698
3361.0,1.601
3371.0,1.605
3381.0,1.633
3391.0,1.657
3401.0,1.494
3411.0,1.439
3421.0,1.644
3431.0,1.813
3441.0,1.667
3451.0,1.687
3461.0,1.534
3471.0,1.431
3481.0,1.596
3491.0,1.611
3501.0,1.553
3511.0,1.377
3521.0,1.447
3531.0,1.608
3541.0,1.599
3551.0,1.538
3561.0,1.322
3571.0,1.689
3581.0,1.443
3591.0,1.566
3601.0,1.386
3611.0,1.327
3621.0,1.528
3631.0,1.565
3641.0,1.392
3651.0,1.412
3661.0,1.738
3671.0,2.041
3681.0,1.699
3691.0,1.566
3701.0,1.715
3711.0,1.615
3721.0,1.352
3731.0,1.548
3741.0,1.575
3751.0,1.772
3761.0,1.607
3771.0,1.452
3781.0,1.749
3791.0,1.66
3801.0,1.525
3811.0,1.686
3821.0,1.767
3831.0,1.625
3841.0,1.484
3851.0,1.723
3861.0,1.736
3871.0,1.753
3881.0,1.742
3891.0,1.569
3901.0,1.589
3911.0,1.75
3921.0,1.732
3931.0,1.56
3941.0,1.701
3951.0,1.774
3961.0,1.748
3971.0,1.59
3981.0,1.484
3991.0,1.72
4001.0,1.597
4011.0,1.647
4021.0,1.655
4031.0,1.726
4041.0,1.431
4051.0,1.55
4061.0,1.549
4071.0,1.644
4081.0,1.607
4091.0,1.386
4101.0,1.765
4111.0,1.722
4121.0,1.793
4131.0,1.574
4141.0,1.714
4151.0,1.803
4161.0,1.745
4171.0,1.52
4181.0,1.723
4191.0,1.69
4201.0,1.73
4211.0,1.659
4221.0,1.691
4231.0,1.736
4241.0,1.636
4251.0,1.679
4261.0,1.731
4271.0,1.753
4281.0,1.63
4291.0,1.764
4301.0,1.763
4311.0,1.856
4321.0,1.576
4331.0,1.613
4341.0,1.665
4351.0,1.712
4361.0,1.608
4371.0,1.53
4381.0,1.675
4391.0,1.545
4401.0,1.702
4411.0,1.63
4421.0,1.657
4431.0,1.614
4441.0,1.321
4451.0,1.495
4461.0,1.597
4471.0,1.559
4481.0,1.559
4491.0,1.427
4501.0,1.616
4511.0,1.557
4521.0,1.621
4531.0,1.605
4541.0,1.316
4551.0,1.572
4561.0,1.587
4571.0,1.548
4581.0,1.33
4591.0,1.386
4601.0,1.612
4611.0,1.669
4621.0,1.531
4631.0,1.596
4641.0,1.58
4651.0,1.505
4661.0,1.603
4671.0,1.616
4681.0,1.514
4691.0,1.991
4701.0,1.44
4711.0,1.502
4721.0,1.655
4731.0,1.632
4741.0,1.59
4751.0,1.532
4761.0,1.766
4771.0,1.573
4781.0,1.557
4791.0,1.697
4801.0,1.571
4811.0,1.607
4821.0,1.596
4831.0,1.682
4841.0,1.681
4851.0,1.579
4861.0,1.776
4871.0,1.493
