step,time
11.0,6.7
21.0,4.174
31.0,4.167
41.0,4.116
51.0,4.038
61.0,4.075
71.0,4.236
81.0,4.003
91.0,4.248
101.0,4.085
111.0,4.108
121.0,4.505
131.0,4.082
141.0,4.168
151.0,4.245
161.0,4.014
171.0,4.201
181.0,4.089
191.0,4.173
201.0,4.204
211.0,4.211
221.0,3.974
231.0,4.146
241.0,4.388
251.0,4.195
261.0,3.98
271.0,4.293
281.0,4.079
291.0,4.161
301.0,4.178
311.0,3.944
321.0,4.039
331.0,4.139
341.0,4.258
351.0,4.096
361.0,4.39
371.0,3.885
381.0,4.142
391.0,4.123
401.0,4.339
411.0,4.215
421.0,4.237
431.0,4.393
441.0,4.283
451.0,4.078
461.0,4.153
471.0,4.444
481.0,4.073
491.0,4.168
501.0,4.215
511.0,4.219
521.0,4.017
531.0,4.131
541.0,4.024
551.0,4.033
561.0,3.974
571.0,4.274
581.0,4.049
591.0,4.58
601.0,4.118
611.0,4.036
621.0,4.054
631.0,3.967
641.0,4.189
651.0,4.17
661.0,4.037
671.0,4.081
681.0,3.979
691.0,3.933
701.0,4.134
711.0,4.419
721.0,4.219
731.0,4.087
741.0,4.084
751.0,4.231
761.0,4.165
771.0,4.181
781.0,4.116
791.0,4.082
801.0,4.11
811.0,4.275
821.0,4.453
831.0,4.046
841.0,4.055
851.0,4.136
861.0,4.404
871.0,4.143
881.0,4.173
891.0,4.025
901.0,4.23
911.0,4.296
921.0,4.191
931.0,4.102
941.0,4.219
951.0,4.13
961.0,4.053
971.0,4.154
981.0,3.947
991.0,4.223
1001.0,4.004
1011.0,4.18
1021.0,4.315
1031.0,3.901
1041.0,3.963
1051.0,4.116
1061.0,4.54
1071.0,4.133
1081.0,4.084
1091.0,4.121
1101.0,3.898
1111.0,3.97
1121.0,4.081
1131.0,3.993
1141.0,4.203
1151.0,4.182
1161.0,4.134
1171.0,4.297
1181.0,3.96
1191.0,3.997
1201.0,4.443
1211.0,4.039
1221.0,4.084
1231.0,4.196
1241.0,3.96
1251.0,4.261
1261.0,3.862
1271.0,3.953
1281.0,4.23
1291.0,4.402
1301.0,4.331
1311.0,4.22
1321.0,4.203
1331.0,3.973
1341.0,4.055
1351.0,3.941
1361.0,4.104
1371.0,4.124
1381.0,4.129
1391.0,4.217
1401.0,4.142
1411.0,4.212
1421.0,3.826
1431.0,4.298
1441.0,4.568
1451.0,3.972
1461.0,4.257
1471.0,4.204
1481.0,4.083
1491.0,3.939
1501.0,4.186
1511.0,4.104
1521.0,4.157
1531.0,4.304
1541.0,4.08
1551.0,4.131
1561.0,4.077
1571.0,3.871
1581.0,3.942
1591.0,4.143
1601.0,4.198
1611.0,4.036
1621.0,4.077
1631.0,4.353
1641.0,4.444
1651.0,4.145
1661.0,4.123
1671.0,4.273
1681.0,4.171
1691.0,4.014
1701.0,4.265
1711.0,3.84
1721.0,3.796
1731.0,4.15
1741.0,4.226
1751.0,4.234
1761.0,4.324
1771.0,4.328
1781.0,4.147
1791.0,3.801
1801.0,3.844
1811.0,4.159
1821.0,4.152
1831.0,4.172
1841.0,3.95
1851.0,4.07
1861.0,4.108
1871.0,3.903
1881.0,4.314
1891.0,4.145
1901.0,4.067
1911.0,4.067
1921.0,4.004
1931.0,4.051
1941.0,4.175
1951.0,4.1
1961.0,3.896
1971.0,4.073
1981.0,4.495
1991.0,4.278
2001.0,4.019
2011.0,4.269
2021.0,4.199
2031.0,3.846
2041.0,4.153
2051.0,4.256
2061.0,4.315
2071.0,4.015
2081.0,4.152
2091.0,4.123
2101.0,3.959
2111.0,4.396
2121.0,4.225
2131.0,4.114
2141.0,4.164
2151.0,4.246
2161.0,4.343
2171.0,3.992
2181.0,3.795
2191.0,4.141
2201.0,4.279
2211.0,4.349
2221.0,4.158
2231.0,4.311
2241.0,4.161
2251.0,4.056
2261.0,4.12
2271.0,4.132
2281.0,4.071
2291.0,4.141
2301.0,4.177
2311.0,4.135
2321.0,4.121
2331.0,3.873
2341.0,4.377
2351.0,4.019
2361.0,4.153
2371.0,4.082
2381.0,4.444
2391.0,4.219
2401.0,4.267
2411.0,4.258
2421.0,4.186
2431.0,4.108
2441.0,4.185
2451.0,4.313
2461.0,4.328
2471.0,4.249
2481.0,4.193
2491.0,4.056
2501.0,4.068
2511.0,4.19
2521.0,4.23
2531.0,4.134
2541.0,4.215
2551.0,4.317
2561.0,3.995
2571.0,4.305
2581.0,4.249
2591.0,3.961
2601.0,4.104
2611.0,4.37
2621.0,4.263
2631.0,4.048
2641.0,3.994
2651.0,4.037
2661.0,4.002
2671.0,4.038
2681.0,4.088
2691.0,4.172
2701.0,4.232
2711.0,4.25
2721.0,4.555
2731.0,4.396
2741.0,4.024
2751.0,4.196
2761.0,4.308
2771.0,4.606
2781.0,4.314
2791.0,4.219
2801.0,4.286
2811.0,4.317
2821.0,4.272
2831.0,4.189
2841.0,4.252
2851.0,3.972
2861.0,4.2
2871.0,4.128
2881.0,4.607
2891.0,4.158
2901.0,4.113
2911.0,4.11
2921.0,4.19
2931.0,4.278
2941.0,4.167
2951.0,4.291
2961.0,4.364
2971.0,4.211
2981.0,4.092
2991.0,4.118
3001.0,4.184
3011.0,4.229
3021.0,4.174
3031.0,4.307
3041.0,3.974
3051.0,4.387
3061.0,4.047
3071.0,4.002
3081.0,4.199
3091.0,4.237
3101.0,4.174
3111.0,4.283
3121.0,4.137
3131.0,4.363
3141.0,4.353
3151.0,4.553
3161.0,4.391
3171.0,4.481
3181.0,4.28
3191.0,4.077
3201.0,4.248
3211.0,4.255
3221.0,4.21
3231.0,4.189
3241.0,4.062
3251.0,4.16
3261.0,4.135
3271.0,4.178
3281.0,4.37
3291.0,4.195
3301.0,4.24
3311.0,3.91
3321.0,4.27
3331.0,4.401
3341.0,4.211
3351.0,4.027
3361.0,4.144
3371.0,4.163
3381.0,4.214
3391.0,4.068
3401.0,4.364
3411.0,3.978
3421.0,4.08
3431.0,3.983
3441.0,4.164
3451.0,4.045
3461.0,4.276
3471.0,4.103
3481.0,4.126
3491.0,4.303
3501.0,4.223
3511.0,4.489
3521.0,4.584
3531.0,4.228
3541.0,4.206
3551.0,4.176
3561.0,3.953
3571.0,4.197
3581.0,4.215
3591.0,3.956
3601.0,4.165
3611.0,3.985
3621.0,4.07
3631.0,4.503
3641.0,4.114
3651.0,4.15
3661.0,4.317
3671.0,4.215
3681.0,4.229
3691.0,4.294
3701.0,4.012
3711.0,4.281
3721.0,4.108
3731.0,4.142
3741.0,4.248
3751.0,4.238
3761.0,4.129
3771.0,4.114
3781.0,4.201
3791.0,4.117
3801.0,4.046
3811.0,4.009
3821.0,3.895
3831.0,3.96
3841.0,4.209
3851.0,4.222
3861.0,4.105
3871.0,4.548
3881.0,4.225
3891.0,4.136
3901.0,4.206
3911.0,4.205
3921.0,4.188
3931.0,4.245
3941.0,4.024
3951.0,4.198
3961.0,4.253
3971.0,4.281
3981.0,4.232
3991.0,4.312
4001.0,4.183
4011.0,4.138
4021.0,4.185
4031.0,4.292
4041.0,3.912
4051.0,3.843
4061.0,4.143
4071.0,4.289
4081.0,4.369
4091.0,4.241
4101.0,4.372
4111.0,4.17
4121.0,4.151
4131.0,4.02
4141.0,4.209
4151.0,4.127
4161.0,4.115
4171.0,4.031
4181.0,4.275
4191.0,4.049
4201.0,4.299
4211.0,4.081
4221.0,4.308
4231.0,4.139
4241.0,4.054
4251.0,4.234
4261.0,4.186
4271.0,4.152
4281.0,4.14
4291.0,4.202
4301.0,4.409
4311.0,4.703
4321.0,4.157
4331.0,4.547
4341.0,4.075
4351.0,4.034
4361.0,4.183
4371.0,4.283
4381.0,4.186
4391.0,4.003
4401.0,4.142
4411.0,4.215
4421.0,4.191
4431.0,4.265
4441.0,4.368
4451.0,4.52
4461.0,4.22
4471.0,4.13
4481.0,4.193
4491.0,3.915
4501.0,4.205
4511.0,4.148
4521.0,4.108
4531.0,4.157
4541.0,4.027
4551.0,4.084
4561.0,4.106
4571.0,4.186
4581.0,4.16
4591.0,4.19
4601.0,4.165
4611.0,4.074
4621.0,4.138
4631.0,4.392
4641.0,4.313
4651.0,4.314
4661.0,3.891
4671.0,4.275
4681.0,4.42
4691.0,4.162
4701.0,4.264
4711.0,4.03
4721.0,4.284
4731.0,4.314
4741.0,4.055
4751.0,4.126
4761.0,4.122
4771.0,4.205
4781.0,4.087
4791.0,3.903
4801.0,4.525
4811.0,4.075
4821.0,4.201
4831.0,4.028
4841.0,4.224
4851.0,4.23
4861.0,3.995
4871.0,4.257
4881.0,3.986
4891.0,4.209
4901.0,3.766
4911.0,4.01
4921.0,4.613
4931.0,4.202
4941.0,4.093
4951.0,4.034
4961.0,4.337
4971.0,3.94
4981.0,3.862
4991.0,4.272
5001.0,4.122
5011.0,4.2
5021.0,4.053
5031.0,3.995
5041.0,4.507
5051.0,4.044
5061.0,4.276
5071.0,4.282
5081.0,4.362
5091.0,4.446
5101.0,4.279
5111.0,4.107
5121.0,4.206
5131.0,4.129
5141.0,4.111
5151.0,4.513
5161.0,4.125
5171.0,4.162
5181.0,4.4
5191.0,4.116
5201.0,3.881
5211.0,4.202
5221.0,4.26
5231.0,4.015
5241.0,4.136
5251.0,3.887
5261.0,4.117
5271.0,4.565
5281.0,3.85
5291.0,4.154
5301.0,4.215
5311.0,4.199
5321.0,4.05
5331.0,4.106
5341.0,4.255
5351.0,4.09
5361.0,4.009
5371.0,4.248
5381.0,4.281
5391.0,4.604
5401.0,4.112
5411.0,4.111
5421.0,4.191
5431.0,4.028
5441.0,4.148
5451.0,4.296
5461.0,4.67
5471.0,4.257
5481.0,4.206
5491.0,4.136
5501.0,4.19
5511.0,3.847
5521.0,4.35
5531.0,4.178
5541.0,3.925
5551.0,4.303
5561.0,4.244
5571.0,4.018
5581.0,3.988
5591.0,4.044
5601.0,4.142
5611.0,4.243
5621.0,4.366
5631.0,4.125
5641.0,3.94
5651.0,4.138
5661.0,3.895
5671.0,4.28
5681.0,3.98
5691.0,4.361
5701.0,4.084
5711.0,4.144
5721.0,4.093
5731.0,4.189
5741.0,4.239
5751.0,4.641
5761.0,4.217
5771.0,4.096
5781.0,4.15
5791.0,4.346
5801.0,3.933
5811.0,3.829
5821.0,4.044
5831.0,4.204
5841.0,4.445
5851.0,4.544
5861.0,4.269
5871.0,4.206
5881.0,3.887
5891.0,3.796
5901.0,4.16
5911.0,4.122
5921.0,4.007
5931.0,4.246
5941.0,4.23
5951.0,4.266
5961.0,4.196
5971.0,4.226
5981.0,4.052
5991.0,4.182
6001.0,4.201
6011.0,4.045
6021.0,3.954
6031.0,4.307
6041.0,4.281
6051.0,4.053
6061.0,4.107
6071.0,4.163
6081.0,4.245
6091.0,4.325
6101.0,4.08
6111.0,4.325
6121.0,3.932
6131.0,4.11
6141.0,4.149
