step,time
11.0,5.144
21.0,2.489
31.0,2.535
41.0,2.631
51.0,2.631
61.0,2.593
71.0,2.552
81.0,2.435
91.0,2.498
101.0,2.471
111.0,2.746
121.0,2.47
131.0,2.468
141.0,2.438
151.0,2.574
161.0,2.578
171.0,2.449
181.0,2.615
191.0,2.35
201.0,2.412
211.0,2.421
221.0,2.519
231.0,2.613
241.0,2.476
251.0,2.535
261.0,2.358
271.0,2.574
281.0,2.56
291.0,2.572
301.0,2.512
311.0,2.571
321.0,2.626
331.0,2.604
341.0,2.402
351.0,2.542
361.0,2.508
371.0,2.503
381.0,2.592
391.0,2.521
401.0,2.476
411.0,2.463
421.0,2.317
431.0,2.584
441.0,2.358
451.0,2.469
461.0,2.457
471.0,2.618
481.0,2.534
491.0,2.558
501.0,2.38
511.0,2.465
521.0,2.459
531.0,2.502
541.0,2.484
551.0,2.399
561.0,2.578
571.0,2.365
581.0,2.518
591.0,2.554
601.0,2.468
611.0,2.562
621.0,2.625
631.0,2.484
641.0,2.593
651.0,2.595
661.0,2.485
671.0,2.512
681.0,2.497
691.0,2.55
701.0,2.468
711.0,2.631
721.0,2.514
731.0,2.489
741.0,2.677
751.0,2.57
761.0,2.475
771.0,2.477
781.0,2.502
791.0,2.571
801.0,2.712
811.0,2.512
821.0,2.236
831.0,2.604
841.0,2.401
851.0,2.531
861.0,2.618
871.0,2.449
881.0,2.682
891.0,2.574
901.0,2.558
911.0,2.489
921.0,2.531
931.0,2.634
941.0,2.88
951.0,2.52
961.0,2.603
971.0,2.654
981.0,2.52
991.0,2.576
1001.0,2.697
1011.0,2.513
1021.0,2.468
1031.0,2.5
1041.0,2.536
1051.0,2.41
1061.0,2.541
1071.0,2.508
1081.0,2.453
1091.0,2.463
1101.0,2.336
1111.0,2.462
1121.0,2.477
1131.0,2.474
1141.0,2.46
1151.0,2.415
1161.0,2.431
1171.0,2.527
1181.0,2.493
1191.0,2.511
1201.0,2.589
1211.0,2.455
1221.0,2.551
1231.0,2.611
1241.0,2.632
1251.0,2.671
1261.0,2.522
1271.0,2.484
1281.0,2.777
1291.0,2.66
1301.0,2.67
1311.0,2.598
1321.0,2.479
1331.0,2.587
1341.0,2.633
1351.0,2.428
1361.0,2.689
1371.0,2.589
1381.0,2.58
1391.0,2.499
1401.0,2.625
1411.0,2.857
1421.0,2.486
1431.0,2.391
1441.0,2.622
1451.0,2.378
1461.0,2.645
1471.0,2.576
1481.0,2.447
1491.0,2.647
1501.0,2.562
1511.0,2.466
1521.0,2.47
1531.0,2.603
1541.0,2.379
1551.0,2.612
1561.0,2.53
1571.0,2.478
1581.0,2.533
1591.0,2.638
1601.0,2.393
1611.0,2.474
1621.0,2.579
1631.0,2.503
1641.0,2.554
1651.0,2.616
1661.0,2.45
1671.0,2.362
1681.0,2.527
1691.0,2.538
1701.0,2.452
1711.0,2.433
1721.0,2.513
1731.0,2.45
1741.0,2.402
1751.0,2.588
1761.0,2.422
1771.0,2.485
1781.0,2.53
1791.0,2.355
1801.0,2.456
1811.0,2.352
1821.0,2.625
1831.0,2.45
1841.0,2.445
1851.0,2.599
1861.0,2.615
1871.0,2.461
1881.0,2.783
1891.0,2.556
1901.0,2.497
1911.0,2.554
1921.0,2.513
1931.0,2.585
1941.0,2.688
1951.0,2.601
1961.0,2.508
1971.0,2.438
1981.0,2.451
1991.0,2.532
2001.0,2.53
2011.0,2.516
2021.0,2.441
2031.0,2.468
2041.0,2.521
2051.0,2.621
2061.0,2.431
2071.0,2.479
2081.0,2.443
2091.0,2.524
2101.0,2.436
2111.0,2.519
2121.0,2.597
2131.0,2.46
2141.0,2.582
2151.0,2.543
2161.0,2.472
2171.0,2.534
2181.0,2.754
2191.0,2.535
2201.0,2.604
2211.0,2.514
2221.0,2.61
2231.0,2.636
2241.0,2.425
2251.0,2.56
2261.0,2.724
2271.0,2.341
2281.0,2.539
2291.0,2.517
2301.0,2.446
2311.0,2.588
