step,time
11.0,5.95
21.0,3.453
31.0,3.414
41.0,3.355
51.0,3.286
61.0,3.578
71.0,3.371
81.0,3.404
91.0,3.318
101.0,3.285
111.0,3.546
121.0,3.535
131.0,3.584
141.0,3.498
151.0,3.455
161.0,3.437
171.0,3.849
181.0,3.621
191.0,3.494
201.0,3.547
211.0,3.493
221.0,3.374
231.0,3.599
241.0,3.861
251.0,3.645
261.0,3.458
271.0,3.478
281.0,3.66
291.0,3.453
301.0,3.508
311.0,3.53
321.0,3.409
331.0,3.382
341.0,3.511
351.0,3.427
361.0,3.374
371.0,3.403
381.0,3.356
391.0,3.562
401.0,3.522
411.0,3.35
421.0,3.413
431.0,3.366
441.0,3.447
451.0,3.421
461.0,3.256
471.0,3.624
481.0,3.265
491.0,3.407
501.0,3.538
511.0,3.369
521.0,3.43
531.0,3.4
541.0,3.341
551.0,3.551
561.0,3.35
571.0,3.403
581.0,3.456
591.0,3.645
601.0,3.443
611.0,3.503
621.0,3.514
631.0,3.39
641.0,3.422
651.0,3.39
661.0,3.462
671.0,3.602
681.0,3.37
691.0,3.595
701.0,3.464
711.0,3.663
721.0,3.564
731.0,3.384
741.0,3.489
751.0,3.396
761.0,3.306
771.0,3.635
781.0,3.454
791.0,3.508
801.0,3.581
811.0,3.418
821.0,3.373
831.0,3.282
841.0,3.496
851.0,3.374
861.0,3.426
871.0,3.424
881.0,3.424
891.0,3.431
901.0,3.332
911.0,3.441
921.0,3.41
931.0,3.476
941.0,3.713
951.0,3.186
961.0,3.369
971.0,3.397
981.0,3.375
991.0,3.494
1001.0,3.452
1011.0,3.475
1021.0,3.365
1031.0,3.473
1041.0,3.559
1051.0,3.373
1061.0,3.609
1071.0,3.5
1081.0,3.74
1091.0,3.508
1101.0,3.393
1111.0,3.405
1121.0,3.527
1131.0,3.396
1141.0,3.508
1151.0,3.393
1161.0,3.499
1171.0,3.689
1181.0,3.494
1191.0,3.481
1201.0,3.62
1211.0,3.506
1221.0,3.416
1231.0,3.721
1241.0,3.503
1251.0,3.551
1261.0,3.349
1271.0,3.526
1281.0,3.296
1291.0,3.568
1301.0,3.508
1311.0,3.524
1321.0,3.341
1331.0,3.415
1341.0,3.332
1351.0,3.41
1361.0,3.416
1371.0,3.453
1381.0,3.481
1391.0,3.371
1401.0,3.504
1411.0,3.696
1421.0,3.427
1431.0,3.379
1441.0,3.449
1451.0,3.417
1461.0,3.473
1471.0,3.516
1481.0,3.44
1491.0,3.48
1501.0,3.477
1511.0,3.333
1521.0,3.537
1531.0,3.426
