step,time
11.0,4.639
21.0,1.951
31.0,2.128
41.0,1.914
51.0,1.998
61.0,1.858
71.0,1.905
81.0,1.978
91.0,1.839
101.0,1.982
111.0,1.811
121.0,2.073
131.0,1.782
141.0,2.072
151.0,1.855
161.0,1.952
171.0,2.011
181.0,1.9
191.0,2.009
201.0,2.063
211.0,2.112
221.0,2.035
231.0,1.883
241.0,1.915
251.0,1.876
261.0,1.921
271.0,2.034
281.0,1.794
291.0,1.746
301.0,1.604
311.0,1.833
321.0,1.819
331.0,1.802
341.0,1.932
351.0,1.922
361.0,1.774
371.0,1.965
381.0,1.8
391.0,1.78
401.0,1.775
411.0,1.658
421.0,1.688
431.0,1.615
441.0,1.763
451.0,1.77
461.0,1.845
471.0,1.813
481.0,1.912
491.0,1.835
501.0,1.893
511.0,1.849
521.0,1.896
531.0,2.065
541.0,1.822
551.0,1.846
561.0,1.845
571.0,2.199
581.0,1.982
591.0,1.815
601.0,1.917
611.0,1.863
621.0,1.586
631.0,1.821
641.0,1.898
651.0,1.971
661.0,1.848
671.0,1.96
681.0,2.003
691.0,1.948
701.0,1.836
711.0,1.724
721.0,1.899
731.0,1.924
741.0,1.989
751.0,1.923
761.0,1.985
771.0,1.914
781.0,1.877
791.0,2.049
801.0,2.137
811.0,1.995
821.0,1.908
831.0,1.955
841.0,1.958
851.0,1.905
861.0,1.945
871.0,1.992
881.0,1.906
891.0,1.95
901.0,1.905
911.0,1.952
921.0,1.998
931.0,1.953
941.0,2.4
951.0,1.944
961.0,2.089
971.0,1.971
981.0,1.845
991.0,1.984
1001.0,2.027
1011.0,1.927
1021.0,2.039
1031.0,2.124
1041.0,1.942
1051.0,1.953
1061.0,2.007
1071.0,1.933
1081.0,1.913
1091.0,1.921
1101.0,1.796
1111.0,1.674
1121.0,1.811
1131.0,1.944
1141.0,1.935
1151.0,1.84
1161.0,1.733
1171.0,1.601
1181.0,1.756
1191.0,1.776
1201.0,1.756
1211.0,1.908
1221.0,1.791
1231.0,1.858
1241.0,1.892
1251.0,1.733
1261.0,1.602
1271.0,1.834
1281.0,1.63
1291.0,1.715
1301.0,1.847
1311.0,1.695
1321.0,2.067
1331.0,1.82
1341.0,1.745
1351.0,1.894
1361.0,1.96
1371.0,1.829
1381.0,1.888
1391.0,2.109
1401.0,2.085
1411.0,1.895
1421.0,1.899
1431.0,1.889
1441.0,1.968
1451.0,1.913
1461.0,1.86
1471.0,1.839
1481.0,1.899
1491.0,1.908
1501.0,1.814
1511.0,1.884
1521.0,1.823
1531.0,1.813
1541.0,1.951
1551.0,1.941
1561.0,1.721
1571.0,1.941
1581.0,2.086
1591.0,1.894
1601.0,1.879
1611.0,2.086
1621.0,1.953
1631.0,2.008
1641.0,2.015
1651.0,1.935
1661.0,2.054
1671.0,1.907
1681.0,2.006
1691.0,1.812
1701.0,2.007
1711.0,2.049
1721.0,1.993
1731.0,1.877
1741.0,1.875
1751.0,1.959
1761.0,1.85
1771.0,2.084
1781.0,1.921
1791.0,1.945
1801.0,1.891
1811.0,1.891
1821.0,1.966
1831.0,1.96
1841.0,2.177
1851.0,2.047
1861.0,2.052
1871.0,2.143
1881.0,2.306
1891.0,2.089
1901.0,1.852
1911.0,1.932
1921.0,1.866
1931.0,1.824
1941.0,1.914
1951.0,1.855
1961.0,1.876
1971.0,1.796
1981.0,1.736
1991.0,1.868
2001.0,1.821
2011.0,1.864
2021.0,1.637
2031.0,1.587
2041.0,1.804
2051.0,1.748
2061.0,1.962
2071.0,1.786
2081.0,1.775
2091.0,1.786
2101.0,1.803
2111.0,1.809
2121.0,1.861
2131.0,1.651
2141.0,1.973
2151.0,1.891
2161.0,2.114
2171.0,1.909
2181.0,1.855
2191.0,1.743
2201.0,1.897
2211.0,1.852
2221.0,1.93
2231.0,2.079
2241.0,1.951
2251.0,1.953
2261.0,1.94
2271.0,2.072
2281.0,1.959
2291.0,1.819
2301.0,1.788
2311.0,1.805
2321.0,1.879
2331.0,1.868
2341.0,1.925
2351.0,1.928
2361.0,1.951
2371.0,1.762
2381.0,1.934
2391.0,1.811
2401.0,1.883
2411.0,1.798
2421.0,2.04
2431.0,2.064
2441.0,2.088
2451.0,1.941
2461.0,1.908
2471.0,1.791
2481.0,2.125
2491.0,2.134
2501.0,2.083
2511.0,2.11
2521.0,1.906
2531.0,1.855
2541.0,2.103
2551.0,1.98
2561.0,2.004
2571.0,2.023
2581.0,1.832
2591.0,1.869
2601.0,1.902
2611.0,1.968
2621.0,1.949
2631.0,1.916
2641.0,2.04
2651.0,1.972
2661.0,1.985
2671.0,1.903
2681.0,1.852
2691.0,2.116
2701.0,2.025
2711.0,1.935
2721.0,2.032
2731.0,2.039
2741.0,2.06
2751.0,1.924
2761.0,1.922
2771.0,1.954
2781.0,1.684
2791.0,1.78
2801.0,1.663
2811.0,1.841
2821.0,2.035
2831.0,1.847
2841.0,1.949
2851.0,1.835
2861.0,1.89
2871.0,1.824
2881.0,1.878
2891.0,1.826
2901.0,1.796
2911.0,1.805
2921.0,1.837
2931.0,1.837
2941.0,1.971
2951.0,1.846
2961.0,1.707
2971.0,1.895
2981.0,1.946
2991.0,1.854
3001.0,1.875
3011.0,1.914
3021.0,1.882
3031.0,1.855
3041.0,1.898
3051.0,1.959
3061.0,2.113
3071.0,2.029
3081.0,1.869
3091.0,2.13
3101.0,1.96
3111.0,2.213
3121.0,1.899
3131.0,1.817
3141.0,1.934
3151.0,1.792
3161.0,1.761
3171.0,2.023
3181.0,1.917
3191.0,1.79
3201.0,1.832
3211.0,1.951
3221.0,1.884
3231.0,1.906
3241.0,1.949
3251.0,1.967
3261.0,2.011
3271.0,2.134
3281.0,1.856
3291.0,1.885
3301.0,1.933
3311.0,1.94
3321.0,1.875
3331.0,2.27
3341.0,1.946
3351.0,2.038
3361.0,2.081
3371.0,2.062
3381.0,1.985
3391.0,2.117
3401.0,1.938
3411.0,1.866
3421.0,1.969
3431.0,1.9
3441.0,2.005
3451.0,1.902
3461.0,1.972
3471.0,1.961
3481.0,1.97
3491.0,2.148
3501.0,2.114
3511.0,2.099
3521.0,2.165
3531.0,2.093
3541.0,1.96
3551.0,1.994
3561.0,2.011
3571.0,1.876
3581.0,1.919
3591.0,1.956
3601.0,1.842
3611.0,1.844
3621.0,1.807
3631.0,1.871
3641.0,1.799
3651.0,1.866
3661.0,1.875
3671.0,1.886
3681.0,1.869
3691.0,1.834
3701.0,1.639
3711.0,1.754
3721.0,1.873
3731.0,1.894
3741.0,1.928
3751.0,2.278
3761.0,1.996
3771.0,2.012
3781.0,1.752
3791.0,2.019
3801.0,1.977
3811.0,1.893
3821.0,1.93
3831.0,2.075
3841.0,1.999
3851.0,1.852
3861.0,1.915
3871.0,1.908
3881.0,1.964
3891.0,1.981
3901.0,2.027
3911.0,1.943
3921.0,1.897
3931.0,1.895
3941.0,1.872
