step,time
11.0,4.891
21.0,2.088
31.0,2.175
41.0,2.233
51.0,2.405
61.0,2.189
71.0,2.255
81.0,2.421
91.0,2.221
101.0,2.382
111.0,2.252
121.0,2.056
131.0,2.197
141.0,2.278
151.0,2.358
161.0,2.364
171.0,2.363
181.0,2.315
191.0,2.408
201.0,2.26
211.0,2.391
221.0,2.474
231.0,2.396
241.0,2.399
251.0,2.325
261.0,2.258
271.0,2.301
281.0,2.378
291.0,2.461
301.0,2.661
311.0,2.417
321.0,6.008
331.0,11.735
341.0,2.285
351.0,2.184
361.0,2.288
371.0,2.169
381.0,2.174
391.0,2.128
401.0,2.377
411.0,2.269
421.0,2.432
431.0,2.283
441.0,2.387
451.0,2.372
461.0,2.414
471.0,2.508
481.0,2.304
491.0,2.381
501.0,2.368
511.0,2.29
521.0,2.462
531.0,2.229
541.0,2.421
551.0,2.39
561.0,2.431
571.0,2.204
581.0,2.13
591.0,2.175
601.0,2.125
611.0,2.2
621.0,2.283
631.0,2.35
641.0,2.271
651.0,2.396
661.0,2.363
671.0,2.386
681.0,2.36
691.0,2.319
701.0,2.357
711.0,2.22
721.0,2.32
731.0,2.356
741.0,2.221
751.0,2.143
761.0,2.351
771.0,2.115
781.0,2.216
791.0,2.181
801.0,2.205
811.0,2.156
821.0,2.066
831.0,2.176
841.0,2.098
851.0,2.326
861.0,2.283
871.0,2.223
881.0,2.279
891.0,2.32
901.0,2.291
911.0,2.266
921.0,2.355
931.0,2.374
941.0,2.648
951.0,2.374
961.0,3.65
971.0,10.084
981.0,2.232
991.0,11.332
1001.0,3.808
1011.0,2.309
1021.0,2.281
1031.0,2.242
1041.0,2.435
1051.0,2.309
1061.0,2.106
1071.0,2.253
1081.0,2.287
1091.0,2.379
1101.0,2.294
1111.0,2.372
1121.0,2.242
1131.0,2.13
1141.0,2.214
1151.0,2.296
1161.0,2.245
1171.0,2.234
1181.0,2.147
1191.0,2.146
1201.0,2.115
1211.0,2.049
1221.0,2.245
1231.0,2.238
1241.0,2.333
1251.0,2.032
1261.0,2.311
1271.0,2.109
1281.0,2.209
1291.0,2.226
1301.0,2.259
1311.0,2.417
1321.0,2.269
1331.0,2.274
1341.0,2.168
1351.0,2.335
1361.0,2.096
1371.0,2.249
1381.0,2.139
1391.0,2.261
1401.0,2.266
1411.0,2.378
1421.0,2.268
1431.0,2.103
1441.0,2.294
1451.0,2.049
1461.0,2.231
1471.0,2.267
1481.0,2.2
1491.0,2.083
1501.0,2.277
1511.0,2.316
1521.0,2.094
1531.0,2.407
1541.0,2.355
1551.0,2.22
1561.0,2.382
1571.0,2.232
1581.0,2.331
1591.0,2.21
1601.0,2.117
1611.0,2.327
1621.0,2.328
1631.0,2.226
1641.0,2.264
1651.0,2.205
1661.0,2.125
1671.0,2.295
1681.0,2.16
1691.0,2.093
1701.0,2.109
1711.0,2.168
1721.0,2.322
1731.0,2.219
1741.0,2.186
1751.0,2.289
1761.0,2.287
1771.0,2.352
1781.0,3.537
1791.0,14.361
1801.0,2.287
1811.0,2.28
1821.0,2.235
1831.0,2.288
1841.0,2.116
1851.0,2.151
1861.0,2.216
1871.0,2.315
1881.0,2.266
1891.0,2.254
1901.0,2.237
1911.0,2.086
1921.0,2.341
1931.0,2.221
1941.0,2.344
1951.0,2.5
1961.0,2.327
1971.0,2.151
1981.0,2.133
1991.0,2.282
2001.0,2.248
2011.0,2.32
2021.0,2.392
2031.0,2.309
2041.0,2.307
2051.0,2.282
2061.0,2.269
2071.0,2.131
2081.0,2.128
2091.0,2.321
2101.0,2.147
2111.0,2.345
2121.0,2.361
2131.0,2.329
2141.0,2.358
2151.0,2.255
2161.0,2.336
2171.0,2.37
2181.0,2.186
2191.0,2.371
2201.0,2.246
2211.0,2.273
2221.0,2.303
2231.0,2.38
2241.0,2.4
2251.0,2.35
2261.0,2.255
2271.0,12.09
2281.0,2.286
2291.0,2.194
2301.0,2.36
2311.0,2.208
2321.0,2.144
2331.0,2.347
2341.0,2.404
2351.0,2.31
2361.0,2.286
2371.0,2.246
2381.0,2.342
2391.0,2.339
2401.0,2.29
2411.0,2.422
2421.0,2.431
2431.0,2.373
2441.0,2.373
2451.0,2.151
2461.0,2.203
2471.0,2.168
2481.0,2.261
2491.0,2.115
2501.0,2.314
2511.0,2.211
2521.0,2.357
2531.0,2.301
2541.0,2.154
2551.0,2.213
2561.0,2.248
2571.0,2.221
2581.0,2.23
2591.0,2.47
2601.0,2.34
2611.0,2.429
2621.0,2.996
2631.0,9.359
2641.0,2.359
2651.0,2.179
2661.0,2.386
2671.0,2.287
2681.0,2.118
2691.0,2.227
2701.0,2.262
2711.0,2.357
2721.0,2.233
2731.0,2.158
2741.0,2.089
2751.0,2.225
2761.0,2.245
2771.0,2.313
2781.0,2.334
2791.0,2.09
2801.0,2.271
