epoch,acc,loss,val_acc,val_loss
0,0.9070010400149631,0.00015143813911657877,0.8490736493000168,0.03148982404638467
1,0.9301072485706771,0.00010690943451825603,0.8742633306328493,2.407088950457164
2,0.933286116981036,9.966776994293212e-05,0.4408794156073531,148.3827612856733
3,0.9363755723587776,9.393651668830253e-05,0.4408794156073531,148.35984547827042
4,0.9384556017238981,8.994128649934055e-05,0.4993683170415344,53.02106850611935
5,0.9403238633934745,8.59297609437849e-05,0.945710555107999,0.19631091496349537
6,0.9416744706961659,8.358382709807726e-05,0.9315170977902899,0.08506782401725033
7,0.9427403680970704,8.11271442088557e-05,0.533246285796237,48.27801361983239
8,0.9440745045818021,7.89084474293633e-05,0.4454529413863699,120.40495876790557
9,0.9450956954663979,7.624058491870905e-05,0.7262307230929915,6.016243660284653
10,0.9462627707668455,7.435361892310954e-05,0.7514274623363976,7.915453200433326
11,0.946959251189709,7.184382344454756e-05,0.7395066520946223,0.010923406856920885
12,0.9482557400793534,7.043614897143575e-05,0.4933267459507344,76.62948100249584
13,0.9492016357858358,6.847263806681533e-05,0.9112256061043447,0.1170603677134543
14,0.949163988195517,6.723600696564498e-05,0.676430109056491,8.420314973730953
15,0.9505051836028725,6.529479166042562e-05,0.4418322334779816,143.29639398537338
16,0.950956954686419,6.355829748601272e-05,0.4493277340602592,131.1460962129345
17,0.9516299053611259,6.237982962529622e-05,0.44360376892633535,141.6717325305545
18,0.9525640361959141,6.0679390932147785e-05,0.4488195645292573,105.51393920438579
19,0.9530887494885085,5.962304488429372e-05,0.4408794156073531,148.38615880095807
20,0.9535805211348055,5.748342936804172e-05,0.44088647351750593,148.06773140289354
21,0.9545522995618761,5.6098516295832236e-05,0.44092882097842273,147.58772327323342
22,0.9549334814138553,5.450919716997873e-05,0.45130394890304426,34.04266031447465
23,0.9550370122852688,5.428361647763447e-05,0.9025161449736814,1.7528834426462363
24,0.9565193861566008,5.2598619406468174e-05,0.4408794156073531,148.1596329144593
25,0.9561264394320861,5.166521170777933e-05,0.9350672265967296,0.7545323778745647
26,0.9571382184199436,5.0397551236574845e-05,0.9481102445582695,0.3602115602784105
27,0.9576652846866526,4.9284219661947334e-05,0.45558104245564335,102.68811200382167
28,0.9578017571990342,4.841259454202325e-05,0.4478173412875592,34.716749180097345
29,0.9581970568976633,4.76169781701496e-05,0.9531213607667602,0.43746220385422085
