loss,step
2.3109019,1.0
2.3089194,11.0
2.2821584,21.0
2.2532642,31.0
2.1911194,41.0
1.9437472,51.0
1.6146193,61.0
1.5061047,71.0
1.2255869,81.0
0.6677781,91.0
0.7889618,101.0
0.2713943,111.0
0.29745466,121.0
0.29135755,131.0
0.6274575,141.0
0.12355138,151.0
0.34179544,161.0
0.07493623,171.0
0.049032383,181.0
0.044573266,191.0
0.4138495,201.0
0.04059072,211.0
0.05872579,221.0
0.061807986,231.0
0.28881294,241.0
0.027412713,251.0
0.016255151,261.0
0.040472187,271.0
0.040037923,281.0
0.046436418,291.0
0.019433664,301.0
0.025702056,311.0
0.027090682,321.0
0.010941825,331.0
0.035084404,341.0
0.025933404,351.0
0.0022119996,361.0
0.027572174,371.0
0.0030673118,381.0
0.016220048,391.0
0.11309698,401.0
0.0053305877,411.0
0.0054425215,421.0
0.00828168,431.0
0.0142542105,441.0
0.003577875,451.0
0.0030464726,461.0
0.034136936,471.0
0.0021602334,481.0
0.008560631,491.0
0.005263579,501.0
0.0035344174,511.0
0.012278091,521.0
0.0140021285,531.0
0.0030683,541.0
0.027784117,551.0
0.0010361577,561.0
0.004544369,571.0
0.021799788,581.0
0.0016827006,591.0
0.009045021,601.0
0.011242056,611.0
0.00011472161,621.0
0.001416728,631.0
0.00091372663,641.0
0.0010267065,651.0
0.0062022978,661.0
0.023362122,671.0
0.0025156138,681.0
0.014199988,691.0
0.0010909452,701.0
0.00034251827,711.0
0.031201378,721.0
0.001490974,731.0
0.003534952,741.0
0.0065691946,751.0
0.0011668436,761.0
0.00036937027,771.0
0.043533236,781.0
0.00086521404,791.0
0.0002420524,801.0
0.001119291,811.0
0.00018072188,821.0
0.0012439222,831.0
0.00014461816,841.0
0.0058901836,851.0
7.612878e-05,861.0
4.918469e-05,871.0
0.0012478384,881.0
5.844034e-05,891.0
0.0019253527,901.0
0.008970297,911.0
0.0036194369,921.0
2.4670253e-05,931.0
0.0011977077,941.0
0.0005088816,951.0
0.0026978482,961.0
0.00014428592,971.0
4.676528e-05,981.0
0.0017600739,991.0
0.0016800186,1001.0
0.001418073,1011.0
0.00075328304,1021.0
0.00050972187,1031.0
