loss,step
2.3122396,1.0
2.204265,11.0
2.155696,21.0
2.227756,31.0
1.9859469,41.0
1.7530775,51.0
4.1635256,61.0
12.378206,71.0
2.2996047,81.0
2.3037796,91.0
2.305026,101.0
2.3133578,111.0
2.305368,121.0
2.3024654,131.0
2.289887,141.0
2.3039553,151.0
2.2815003,161.0
2.3166387,171.0
2.3009162,181.0
2.307684,191.0
2.2888155,201.0
2.3038929,211.0
2.304926,221.0
2.310678,231.0
2.296346,241.0
2.2992344,251.0
2.297039,261.0
2.2929704,271.0
2.3111186,281.0
2.2910218,291.0
2.30514,301.0
2.2923284,311.0
2.318184,321.0
2.3063974,331.0
2.313676,341.0
2.3043158,351.0
2.3039913,361.0
2.3078933,371.0
2.3103719,381.0
2.3036695,391.0
2.293001,401.0
2.2918553,411.0
2.313015,421.0
2.3106227,431.0
2.3033566,441.0
2.300056,451.0
2.3030796,461.0
2.3145401,471.0
2.3183184,481.0
2.286796,491.0
2.3024964,501.0
2.3115194,511.0
2.2861469,521.0
2.3052263,531.0
2.3028793,541.0
2.3024044,551.0
2.2973483,561.0
2.321012,571.0
2.308303,581.0
2.3119483,591.0
2.2865374,601.0
2.3057382,611.0
2.292776,621.0
2.2992563,631.0
2.3085942,641.0
2.2869925,651.0
2.3021011,661.0
2.2946775,671.0
2.306188,681.0
2.31181,691.0
2.2807095,701.0
2.3071446,711.0
2.3047292,721.0
2.2991643,731.0
2.297164,741.0
2.3215375,751.0
2.3068104,761.0
2.3084185,771.0
2.3113384,781.0
2.3005123,791.0
2.2821667,801.0
2.303898,811.0
2.2928429,821.0
2.293704,831.0
2.3039746,841.0
2.3105536,851.0
2.3025584,861.0
2.2878032,871.0
2.3078191,881.0
2.307598,891.0
2.3188233,901.0
2.2946124,911.0
2.3090386,921.0
2.3039079,931.0
2.3024702,941.0
2.3067675,951.0
2.2957115,961.0
2.3012283,971.0
2.307098,981.0
2.3068745,991.0
2.3078232,1001.0
2.2976613,1011.0
2.300577,1021.0
2.2886453,1031.0
2.2925181,1041.0
2.3040128,1051.0
2.2938838,1061.0
2.2927623,1071.0
2.308419,1081.0
2.2985291,1091.0
2.2975764,1101.0
2.3036375,1111.0
2.298612,1121.0
2.3059943,1131.0
2.308471,1141.0
2.3081603,1151.0
2.2967625,1161.0
2.303765,1171.0
2.3065343,1181.0
2.2923446,1191.0
2.2970042,1201.0
2.2926598,1211.0
2.2825215,1221.0
2.3181682,1231.0
2.3020988,1241.0
2.29989,1251.0
2.306889,1261.0
2.3243198,1271.0
2.2978783,1281.0
2.3164625,1291.0
2.308865,1301.0
2.2863097,1311.0
2.3062134,1321.0
2.3000162,1331.0
2.297038,1341.0
2.301242,1351.0
2.3116384,1361.0
2.3032742,1371.0
