epoch,acc,loss,val_acc,val_loss
0,0.8992865080245618,0.0001513565660030056,0.9105953496987751,0.096931853858552
1,0.9237383502479547,0.00010448861407918952,0.44180063855157115,85.54538648758638
2,0.928068168203158,9.649797410732475e-05,0.9387030158551024,0.14639807128548663
3,0.931993901135712,8.978710053933528e-05,0.4618100829506336,121.41555046557482
4,0.9345828644564242,8.546376427257416e-05,0.4402712093740094,151.20900878709443
5,0.9369838812469564,8.098034197958286e-05,0.9104473404235272,1.2835460902213998
6,0.9385649813298002,7.861885382710748e-05,0.9462867292009975,0.5539883620424767
7,0.9400521081778006,7.641356916418552e-05,0.4402712093740094,165.61816037123737
8,0.9406276943999238,7.442818371418022e-05,0.8631759971126285,0.028996263539947206
9,0.9424319809750511,7.103413235356964e-05,0.4402641613132833,170.6207792934727
10,0.9426645647933256,7.05035976263329e-05,0.4564112684344477,39.92716517513322
11,0.9443584328031834,6.82604751988194e-05,0.8528928765178825,0.023131580679357937
12,0.9453803920046927,6.599720383325956e-05,0.4405672279245052,160.54032380712158
13,0.9452958160809969,6.571307636619872e-05,0.8435119076922952,3.432200680210375
14,0.9469239028037373,6.293653257842087e-05,0.7296293424893555,8.395987022356858
15,0.9478166487629296,6.053976732515407e-05,0.4608585947549218,31.33562498890567
16,0.9485120509064199,5.899569442011558e-05,0.9228378311699131,0.09162082223970784
17,0.9490946851074927,5.783893736397136e-05,0.4402782574347355,169.59124195953885
18,0.9497477992639995,5.677016185981278e-05,0.44068704495684874,166.63330417090305
19,0.9503962147624121,5.451851759035543e-05,0.9395135428533062,0.10107517147237625
20,0.9514769072512242,5.316393917548e-05,0.7400604723492672,9.968735455577749
21,0.9519115335633196,5.252297063381667e-05,0.9383858531270494,0.11049847201496805
22,0.9524706744698598,5.119779072321131e-05,0.9431080538089094,0.1707534466521455
23,0.9527197036187005,4.9709489034647855e-05,0.9179887653903624,1.16465701095442
24,0.9533540231079622,4.922589789048769e-05,0.585651557980545,24.931642848617937
25,0.954251467734911,4.710700344552213e-05,0.9047031709216805,0.0503376322840905
26,0.9547448273595149,4.680286365136395e-05,0.9284974239283433,0.07944987083204917
27,0.9559359384288602,4.553104941312837e-05,0.9491623379827041,0.1646629751157264
28,0.9558137731960197,4.490523251959735e-05,0.8993677889520294,2.601306772929921
29,0.9564927299838781,4.419553582817436e-05,0.4402641613132833,170.9306373626035
